[LOG] System::create                           : Header version = 1.08.00. Current version = 1.08.00.
[LOG] SystemI::init                            : FMOD Studio Version: 00010800 (73592)
[LOG] SystemI::init                            : maxchannels = 256, flags = 00020000, extradriverdata = 0000000000000000
[LOG] SystemI::close                           : 
[LOG] SystemI::close                           : Stop all sounds
[LOG] SystemI::close                           : done.

[WRN] SystemI::init                            : No output sound devices found - switching output mode to FMOD_OUTPUTTYPE_NOSOUND
[LOG] OutputNoSound::init                      : Initializing.
[LOG] OutputNoSound::init                      : Done.
[LOG] Output::start                            : Starting thread that automatically wakes up every 10 ms
[LOG] Thread::initThread                       : Initializing FMOD mixer thread.  priority 3
[LOG] Thread::initThread                       : - Stacksize 49152.  Stack pointer 0000000000000000 : usesemaphore = 0 : sleeptime = 10
[LOG] Thread::callback                         : * FMOD mixer thread started
[LOG] SystemI::init                            : Set up emulated output
[LOG] SystemI::init                            : create the channel pool
[LOG] Thread::initThread                       : Initializing FMOD stream thread.  priority 2
[LOG] Thread::initThread                       : - Stacksize 65536.  Stack pointer 0000000000000000 : usesemaphore = 0 : sleeptime = 10
[LOG] Thread::callback                         : * FMOD stream thread started
[LOG] Thread::initThread                       : Initializing FMOD Studio sample load thread.  priority 0
[LOG] Thread::initThread                       : - Stacksize 65536.  Stack pointer 0000000000000000 : usesemaphore = 0 : sleeptime = 1
[LOG] Thread::callback                         : * FMOD Studio sample load thread started
[LOG] Thread::initThread                       : Initializing FMOD Studio bank load thread.  priority 0
[LOG] Thread::initThread                       : - Stacksize 65536.  Stack pointer 0000000000000000 : usesemaphore = 0 : sleeptime = 1
[LOG] Thread::callback                         : * FMOD Studio bank load thread started
[LOG] Manager::readBank                        : fileversion = 80, compatVersion = 70 (oldest = 44, newest = 72)
[LOG] Manager::readBank                        : fileversion = 80, compatVersion = 70 (oldest = 44, newest = 72)
[LOG] Manager::readBank                        : fileversion = 80, compatVersion = 70 (oldest = 44, newest = 72)
[LOG] Manager::readBank                        : fileversion = 80, compatVersion = 70 (oldest = 44, newest = 72)
[LOG] Manager::readBank                        : fileversion = 80, compatVersion = 70 (oldest = 44, newest = 72)
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {e58fa008-a918-47ed-af6f-3e9b9e2e3fd9}
[LOG] Manager::readBank                        : fileversion = 80, compatVersion = 70 (oldest = 44, newest = 72)
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {f92d1b2d-e222-4e28-bd5d-537b7d40050d}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {f92d1b2d-e222-4e28-bd5d-537b7d40050d}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {74de8e9d-db5c-4286-b716-fdd570fe3664}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {528675c4-cf00-4c00-91f3-1c49076470e1}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {7b96698b-1790-42ce-904d-7d6c31ef5844}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {aee2063e-f7cf-48b5-a05b-628d88d713df}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {5119c5b2-23f3-431c-bc9f-be2bbcac9ace}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {528675c4-cf00-4c00-91f3-1c49076470e1}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {e58fa008-a918-47ed-af6f-3e9b9e2e3fd9}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithSends: {7ced0bf7-8d23-48e6-b09c-1c8d4795c332}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithSends: {7ced0bf7-8d23-48e6-b09c-1c8d4795c332}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithSends: {7ced0bf7-8d23-48e6-b09c-1c8d4795c332}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithSends: {7ced0bf7-8d23-48e6-b09c-1c8d4795c332}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithSends: {7ced0bf7-8d23-48e6-b09c-1c8d4795c332}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithSends: {7ced0bf7-8d23-48e6-b09c-1c8d4795c332}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithSends: {7ced0bf7-8d23-48e6-b09c-1c8d4795c332}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithSends: {7ced0bf7-8d23-48e6-b09c-1c8d4795c332}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithSends: {7ced0bf7-8d23-48e6-b09c-1c8d4795c332}
[LOG] Manager::readBank                        : fileversion = 80, compatVersion = 70 (oldest = 44, newest = 72)
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {1c9de492-4c97-4e0c-9a53-778b81d67d3b}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {1c9de492-4c97-4e0c-9a53-778b81d67d3b}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {1c9de492-4c97-4e0c-9a53-778b81d67d3b}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithSends: {7ced0bf7-8d23-48e6-b09c-1c8d4795c332}
[LOG] Manager::readBank                        : fileversion = 80, compatVersion = 70 (oldest = 44, newest = 72)
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {606c96ad-481e-4b4d-b6b1-57f099191d0c}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {606c96ad-481e-4b4d-b6b1-57f099191d0c}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {606c96ad-481e-4b4d-b6b1-57f099191d0c}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {606c96ad-481e-4b4d-b6b1-57f099191d0c}
[WRN] ObjectLookup::get                        : Lookup failed for BusWithInputs: {606c96ad-481e-4b4d-b6b1-57f099191d0c}
